2026-09-14 10:06:25,764 | INFO | Generating 200 labelled sensor records
2026-09-14 10:06:26,228 | WARNING | [CRITICAL] Temperature 39.5°C at 2026-09-13 20:46:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,228 | WARNING | [CRITICAL] Temperature 39.8°C at 2026-09-13 20:51:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,228 | WARNING | [CRITICAL] Temperature 40.0°C at 2026-09-13 20:56:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,228 | WARNING | [CRITICAL] Temperature 40.0°C at 2026-09-13 21:01:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,228 | WARNING | [CRITICAL] Temperature 40.0°C at 2026-09-13 21:06:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,228 | WARNING | [CRITICAL] Temperature 40.0°C at 2026-09-13 21:11:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,229 | WARNING | [CRITICAL] Temperature 39.3°C at 2026-09-13 21:16:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,229 | WARNING | [CRITICAL] Temperature 39.2°C at 2026-09-13 21:21:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,229 | WARNING | [CRITICAL] Temperature 40.0°C at 2026-09-13 21:26:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,229 | WARNING | [CRITICAL] Temperature 40.0°C at 2026-09-13 21:31:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,229 | WARNING | [CRITICAL] Temperature 40.0°C at 2026-09-13 21:36:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,229 | WARNING | [CRITICAL] Temperature 39.3°C at 2026-09-13 21:41:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,229 | WARNING | [CRITICAL] Temperature 38.6°C at 2026-09-13 21:46:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,229 | WARNING | [CRITICAL] Temperature 38.3°C at 2026-09-13 21:51:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,230 | WARNING | [CRITICAL] Temperature 35.4°C at 2026-09-13 21:56:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,230 | WARNING | [CRITICAL] Temperature 35.5°C at 2026-09-13 22:01:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,230 | WARNING | [CRITICAL] Temperature 36.9°C at 2026-09-13 22:06:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,230 | WARNING | [CRITICAL] Temperature 40.0°C at 2026-09-13 22:11:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,230 | WARNING | [CRITICAL] Temperature 39.6°C at 2026-09-13 22:16:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,230 | WARNING | [CRITICAL] Temperature 39.4°C at 2026-09-13 22:21:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,230 | WARNING | [CRITICAL] Temperature 38.5°C at 2026-09-13 22:26:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,230 | WARNING | [CRITICAL] Temperature 39.5°C at 2026-09-13 22:31:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,232 | WARNING | [CRITICAL] Temperature 39.7°C at 2026-09-13 22:36:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,232 | WARNING | [CRITICAL] Temperature 40.0°C at 2026-09-13 22:41:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,232 | WARNING | [CRITICAL] Temperature 39.2°C at 2026-09-13 22:46:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,233 | WARNING | [CRITICAL] Temperature 38.9°C at 2026-09-13 22:51:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,233 | WARNING | [CRITICAL] Temperature 39.1°C at 2026-09-13 22:56:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,233 | WARNING | [CRITICAL] Temperature 39.3°C at 2026-09-13 23:01:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,233 | WARNING | [CRITICAL] Temperature 39.5°C at 2026-09-13 23:06:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,233 | WARNING | [CRITICAL] Temperature 38.9°C at 2026-09-13 23:11:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,233 | WARNING | [CRITICAL] Temperature 38.0°C at 2026-09-13 23:16:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,233 | WARNING | [CRITICAL] Temperature 37.7°C at 2026-09-13 23:21:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,233 | WARNING | [CRITICAL] Temperature 37.6°C at 2026-09-13 23:26:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,233 | WARNING | [CRITICAL] Temperature 36.2°C at 2026-09-13 23:31:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,234 | WARNING | [CRITICAL] Temperature 36.0°C at 2026-09-13 23:36:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,234 | WARNING | [CRITICAL] Temperature 35.2°C at 2026-09-13 23:41:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,234 | WARNING | [WARNING] Temperature 34.6°C at 2026-09-13 23:46:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,234 | WARNING | [CRITICAL] Temperature 35.5°C at 2026-09-13 23:51:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,234 | WARNING | [CRITICAL] Temperature 35.8°C at 2026-09-13 23:56:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,234 | WARNING | [CRITICAL] Temperature 35.4°C at 2026-09-14 00:01:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,234 | WARNING | [CRITICAL] Temperature 35.3°C at 2026-09-14 00:06:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,234 | WARNING | [CRITICAL] Temperature 35.7°C at 2026-09-14 00:11:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,235 | WARNING | [CRITICAL] Temperature 35.4°C at 2026-09-14 00:16:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,235 | WARNING | [WARNING] Temperature 34.9°C at 2026-09-14 00:21:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,235 | WARNING | [CRITICAL] Temperature 35.0°C at 2026-09-14 00:26:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,235 | WARNING | [CRITICAL] Temperature 35.2°C at 2026-09-14 00:31:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,235 | WARNING | [WARNING] Temperature 34.1°C at 2026-09-14 00:36:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,235 | WARNING | [WARNING] Temperature 34.9°C at 2026-09-14 00:41:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,235 | WARNING | [CRITICAL] Temperature 35.3°C at 2026-09-14 00:46:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,235 | WARNING | [CRITICAL] Temperature 35.5°C at 2026-09-14 00:51:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,235 | WARNING | [CRITICAL] Temperature 35.7°C at 2026-09-14 00:56:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,236 | WARNING | [CRITICAL] Temperature 36.5°C at 2026-09-14 01:01:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,236 | WARNING | [CRITICAL] Temperature 37.0°C at 2026-09-14 01:06:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,236 | WARNING | [CRITICAL] Temperature 37.4°C at 2026-09-14 01:11:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,236 | WARNING | [WARNING] Temperature 33.0°C at 2026-09-14 01:16:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,236 | WARNING | [WARNING] Temperature 32.1°C at 2026-09-14 01:21:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,236 | WARNING | [WARNING] Temperature 32.3°C at 2026-09-14 01:26:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,236 | WARNING | [WARNING] Temperature 31.1°C at 2026-09-14 01:31:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,237 | WARNING | [WARNING] Temperature 31.4°C at 2026-09-14 01:36:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,237 | WARNING | [WARNING] Temperature 31.7°C at 2026-09-14 01:41:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,237 | WARNING | [WARNING] Temperature 32.2°C at 2026-09-14 01:46:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,237 | WARNING | [WARNING] Temperature 32.1°C at 2026-09-14 01:51:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,237 | WARNING | [WARNING] Temperature 31.3°C at 2026-09-14 01:56:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,237 | WARNING | [WARNING] Temperature 31.1°C at 2026-09-14 02:01:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,237 | WARNING | [WARNING] Temperature 31.1°C at 2026-09-14 02:06:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,238 | WARNING | [WARNING] Temperature 30.8°C at 2026-09-14 02:11:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,238 | WARNING | [WARNING] Temperature 31.2°C at 2026-09-14 02:16:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,238 | WARNING | [WARNING] Temperature 30.6°C at 2026-09-14 02:21:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,238 | WARNING | [WARNING] Temperature 31.1°C at 2026-09-14 02:26:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,238 | WARNING | [WARNING] Temperature 30.8°C at 2026-09-14 02:31:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,238 | WARNING | [WARNING] Temperature 31.0°C at 2026-09-14 02:36:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,238 | WARNING | [WARNING] Temperature 31.6°C at 2026-09-14 02:41:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,238 | WARNING | [WARNING] Temperature 31.5°C at 2026-09-14 02:46:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,239 | WARNING | [WARNING] Temperature 31.6°C at 2026-09-14 02:51:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,239 | WARNING | [WARNING] Temperature 31.7°C at 2026-09-14 02:56:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,239 | WARNING | [WARNING] Temperature 30.9°C at 2026-09-14 03:01:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,239 | WARNING | [WARNING] Temperature 30.7°C at 2026-09-14 03:06:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,239 | WARNING | [WARNING] Temperature 30.9°C at 2026-09-14 03:11:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,239 | WARNING | [WARNING] Temperature 31.2°C at 2026-09-14 03:16:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,239 | WARNING | [WARNING] Temperature 31.2°C at 2026-09-14 03:21:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,239 | WARNING | [WARNING] Temperature 31.3°C at 2026-09-14 03:26:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,240 | WARNING | [WARNING] Temperature 30.9°C at 2026-09-14 03:31:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,240 | WARNING | [WARNING] Temperature 31.2°C at 2026-09-14 03:36:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,240 | WARNING | [WARNING] Temperature 31.0°C at 2026-09-14 03:41:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,240 | WARNING | [WARNING] Temperature 30.0°C at 2026-09-14 03:46:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,240 | WARNING | [WARNING] Temperature 30.8°C at 2026-09-14 03:51:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,241 | WARNING | [WARNING] Temperature 33.0°C at 2026-09-14 05:51:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,241 | WARNING | [WARNING] Temperature 33.5°C at 2026-09-14 05:56:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,241 | WARNING | [WARNING] Temperature 33.2°C at 2026-09-14 06:01:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,241 | WARNING | [CRITICAL] Temperature 39.0°C at 2026-09-14 06:06:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,241 | WARNING | [CRITICAL] Temperature 38.5°C at 2026-09-14 06:11:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,241 | WARNING | [CRITICAL] Temperature 38.0°C at 2026-09-14 06:16:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,241 | WARNING | [WARNING] Temperature 34.1°C at 2026-09-14 06:21:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,242 | WARNING | [WARNING] Temperature 33.8°C at 2026-09-14 06:26:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,242 | WARNING | [WARNING] Temperature 34.5°C at 2026-09-14 06:31:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,242 | WARNING | [CRITICAL] Temperature 36.0°C at 2026-09-14 06:36:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,242 | WARNING | [CRITICAL] Temperature 35.8°C at 2026-09-14 06:41:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,242 | WARNING | [CRITICAL] Temperature 36.1°C at 2026-09-14 06:46:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,242 | WARNING | [CRITICAL] Temperature 36.2°C at 2026-09-14 06:51:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,242 | WARNING | [CRITICAL] Temperature 35.2°C at 2026-09-14 06:56:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,242 | WARNING | [CRITICAL] Temperature 35.1°C at 2026-09-14 07:01:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,242 | WARNING | [CRITICAL] Temperature 35.3°C at 2026-09-14 07:06:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,243 | WARNING | [CRITICAL] Temperature 35.1°C at 2026-09-14 07:11:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,243 | WARNING | [WARNING] Temperature 34.9°C at 2026-09-14 07:16:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,243 | WARNING | [CRITICAL] Temperature 35.2°C at 2026-09-14 07:21:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,243 | WARNING | [CRITICAL] Temperature 35.4°C at 2026-09-14 07:26:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,243 | WARNING | [CRITICAL] Temperature 35.5°C at 2026-09-14 07:31:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,243 | WARNING | [CRITICAL] Temperature 35.5°C at 2026-09-14 07:36:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,243 | WARNING | [CRITICAL] Temperature 35.2°C at 2026-09-14 07:41:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,243 | WARNING | [CRITICAL] Temperature 36.0°C at 2026-09-14 07:46:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,244 | WARNING | [CRITICAL] Temperature 35.9°C at 2026-09-14 07:51:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,244 | WARNING | [CRITICAL] Temperature 35.4°C at 2026-09-14 07:56:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,244 | WARNING | [CRITICAL] Temperature 35.3°C at 2026-09-14 08:01:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,244 | WARNING | [CRITICAL] Temperature 35.3°C at 2026-09-14 08:06:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,244 | WARNING | [WARNING] Temperature 33.2°C at 2026-09-14 08:11:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,244 | WARNING | [WARNING] Temperature 32.7°C at 2026-09-14 08:16:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,244 | WARNING | [WARNING] Temperature 31.8°C at 2026-09-14 08:21:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,244 | WARNING | [WARNING] Temperature 31.8°C at 2026-09-14 08:26:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,245 | WARNING | [WARNING] Temperature 31.3°C at 2026-09-14 08:31:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,245 | WARNING | [WARNING] Temperature 30.6°C at 2026-09-14 08:36:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,245 | WARNING | [WARNING] Temperature 30.6°C at 2026-09-14 09:16:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,245 | INFO | Alert count: 137 of 200 records
2026-09-14 10:06:27,160 | INFO | Analysis complete: {'mean_temperature': 32.499, 'min_temperature': 24.34, 'max_temperature': 40.0, 'mean_humidity': 49.326800000000006, 'count_normal': 63, 'count_warning': 62, 'count_critical': 75, 'n': 200}
2026-09-14 10:06:28,975 | INFO | Plot saved to /home/workdir/artifacts/iot_environment_monitor/plots/temperature_over_time.png
2026-09-14 10:06:58,494 | INFO | Saved model to /home/workdir/artifacts/iot_environment_monitor/models/decision_tree_model.joblib
2026-09-14 10:06:58,502 | INFO | Predicted Warning for sample {'Temperature': 33.0, 'Humidity': 42.0} (accuracy=1.000)
